Line#,Date,"Temperature (S-THB 20148981:20147576-1), *C, USDA-WS6","PAR (S-LIA 20148981:20140001-1), uE, USDA-WS6","RH (S-THB 20148981:20147576-2), %, USDA-WS6","Temperature (S-TMB 20148981:20130466-1), *C, USDA-WS6","Solar Radiation (S-LIB 20148981:20142891-1), W/m^2, USDA-WS6","Dew Point (S-THB 20148981:20147576-3), *C, USDA-WS6","Water Content (S-SMD 20148981:20152203-1), m^3/m^3, USDA-WS6","Rain (S-RGB 20148981:20148771-1), mm, USDA-WS6","Battery (RX3000 BATTERY 20148981:20148981-B), V, USDA-WS6"
107,4/24/2018 7:00,20.32,1,99,21.06,1,20.18,0.4444,0,4.356
108,4/24/2018 7:05,20.34,1,98.9,21.06,1,20.19,0.4437,0,4.358
109,4/24/2018 7:10,20.34,1,98.9,21.06,1,20.19,0.4437,0,4.359
110,4/24/2018 7:15,20.34,1,98.9,21.06,1,20.19,0.4437,0,4.359
111,4/24/2018 7:20,20.36,1,98.9,21.06,1,20.21,0.4437,0,4.359
112,4/24/2018 7:25,20.36,1,98.9,21.06,1,20.21,0.4437,0,4.359
113,4/24/2018 7:30,20.27,1,98.8,21.06,1,20.1,0.4437,0,4.359
114,4/24/2018 7:35,20.27,1,98.9,21.03,1,20.12,0.4437,0,4.361
115,4/24/2018 7:40,20.29,1,98.9,21.03,1,20.14,0.443,0,4.361
116,4/24/2018 7:45,20.25,1,98.8,21.03,1,20.08,0.443,0,4.361
117,4/24/2018 7:50,20.2,1,98.8,21.03,1,20.03,0.443,0,4.359
118,4/24/2018 7:55,20.17,1,99,21.03,1,20.04,0.443,0,4.359
119,4/24/2018 8:00,20.15,1,99.1,21.01,1,20.03,0.443,0,4.359
120,4/24/2018 8:05,20.17,1,99.1,21.01,1,20.05,0.443,0,4.359
121,4/24/2018 8:10,20.2,1,98.9,21.01,1,20.05,0.4423,0,4.359
122,4/24/2018 8:15,20.17,1,98.7,20.98,1,19.99,0.4423,0,4.359
123,4/24/2018 8:20,20.17,1,98.4,20.96,1,19.94,0.4423,0,4.359
124,4/24/2018 8:25,20.13,1,98.2,20.96,1,19.86,0.4416,0,4.358
125,4/24/2018 8:30,20.13,1,98,20.94,1,19.83,0.4416,0,4.358
126,4/24/2018 8:35,20.1,1,97.8,20.94,1,19.77,0.4423,0,4.358
127,4/24/2018 8:40,20.03,1,98,20.94,1,19.73,0.4416,0,4.358
128,4/24/2018 8:45,19.98,1,98,20.91,1,19.68,0.4423,0,4.358
129,4/24/2018 8:50,19.94,1,98.3,20.89,1,19.69,0.4423,0,4.358
130,4/24/2018 8:55,19.84,1,97.9,20.89,1,19.53,0.4416,0,4.356
131,4/24/2018 9:00,19.82,1,97.9,20.86,1,19.5,0.4423,0,4.356
132,4/24/2018 9:05,19.77,1,97.9,20.84,1,19.45,0.4416,0,4.356
133,4/24/2018 9:10,19.82,1,97.4,20.82,1,19.42,0.4416,0,4.356
134,4/24/2018 9:15,19.86,1,96.8,20.79,1,19.37,0.4416,0,4.356
135,4/24/2018 9:20,19.79,1,96.7,20.77,1,19.28,0.4416,0,4.356
136,4/24/2018 9:25,19.7,1,96.8,20.75,1,19.2,0.4408,0,4.355
137,4/24/2018 9:30,19.53,1,96.9,20.72,1,19.05,0.4416,0,4.355
138,4/24/2018 9:35,19.46,1,97.1,20.7,1,19.01,0.4416,0,4.355
